Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),OK,383513362.3187276,36.21782122038363,85,383513362.3187276,383513362.3187276,76702672.46374552,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,383513362.3187276,1.0,True,2026-01-31
BLUE LABEL TELECOMS (SOUTH AFRICA),OK,173597509.46676967,63.62263927714058,85,173597509.46676967,173597509.46676967,34719501.89335393,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,173597509.46676967,2.0,True,2026-01-31
NASPERS (SOUTH AFRICA),OK,132863970.57016438,66.6715761935432,85,132863970.57016438,132863970.57016438,26572794.11403288,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,132863970.57016438,3.0,True,2026-01-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,88350536.61082894,86.50928413665467,85,88350536.61082894,88350536.61082894,17670107.322165787,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,88350536.61082894,4.0,True,2026-01-31
GOLD FIELDS (SOUTH AFRICA),OK,86587037.67603363,43.80605839640768,85,86587037.67603363,86587037.67603363,17317407.535206728,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,86587037.67603363,5.0,True,2026-01-31
PPC (SOUTH AFRICA),OK,66421726.10623161,33.74293677032409,85,66421726.10623161,66421726.10623161,13284345.221246323,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,66421726.10623161,6.0,True,2026-01-31
GRINDROD (SOUTH AFRICA),OK,60856456.68977235,102.6171601244203,85,60856456.68977235,60856456.68977235,12171291.33795447,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,60856456.68977235,7.0,True,2026-01-31
FIRSTRAND (SOUTH AFRICA),OK,58294149.98885582,5.477945459583024,85,58294149.98885582,58294149.98885582,11658829.997771164,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,58294149.98885582,8.0,True,2026-01-31
PROSUS (SOUTH AFRICA),OK,52912869.032721,61.78277395914509,85,52912869.032721,52912869.032721,10582573.8065442,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,52912869.032721,9.0,True,2026-01-31
CAPITEC BANK (SOUTH AFRICA),OK,52194720.888338104,250.8567023794505,85,52194720.888338104,52194720.888338104,10438944.177667622,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,52194720.888338104,10.0,True,2026-01-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,45942818.914219216,17.52942547066568,85,45942818.914219216,45942818.914219216,9188563.782843843,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,45942818.914219216,11.0,True,2026-01-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),OK,42001630.35328874,20.34898285267254,85,42001630.35328874,42001630.35328874,8400326.070657749,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,42001630.35328874,12.0,True,2026-01-31
MTN GROUP (SOUTH AFRICA),OK,41578248.98720508,10.23153449475838,85,41578248.98720508,41578248.98720508,8315649.797441017,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,41578248.98720508,13.0,True,2026-01-31
SIBANYE STILLWATER (SOUTH AFRICA),OK,40202675.29154995,3.651963639722016,85,40202675.29154995,40202675.29154995,8040535.058309991,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,40202675.29154995,14.0,True,2026-01-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),OK,38061134.38737542,20.34717196161152,85,38061134.38737542,38061134.38737542,7612226.877475085,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,38061134.38737542,15.0,True,2026-01-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,37336400.06170806,15.81511526623419,85,37336400.06170806,37336400.06170806,7467280.012341613,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,37336400.06170806,16.0,True,2026-01-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,34345465.5529127,56.81489614841581,85,34345465.5529127,34345465.5529127,6869093.11058254,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,34345465.5529127,17.0,True,2026-01-31
ABSA (SOUTH AFRICA),OK,33478368.831765827,14.44849614551838,85,33478368.831765827,33478368.831765827,6695673.766353166,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,33478368.831765827,18.0,True,2026-01-31
ANGLO AMERICAN (SOUTH AFRICA),OK,29641967.3490513,41.35471553014138,85,29641967.3490513,29641967.3490513,5928393.46981026,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,29641967.3490513,19.0,True,2026-01-31
OLD MUTUAL (SOUTH AFRICA),OK,27150488.18038922,0.8994092269728602,85,27150488.18038922,27150488.18038922,5430097.636077845,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,27150488.18038922,20.0,True,2026-01-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,22937662.095640674,16.31190304730712,85,22937662.095640674,22937662.095640674,4587532.419128135,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,22937662.095640674,21.0,True,2026-01-31
PEPKOR HOLDINGS LTD (SOUTH AFRICA),OK,21465109.971717987,1.596602285465245,86,21465109.971717987,21465109.971717987,4293021.994343597,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,21465109.971717987,22.0,True,2026-01-31
BID CORPORATION (SOUTH AFRICA),OK,20839463.590907473,25.4653537304054,85,20839463.590907473,20839463.590907473,4167892.7181814946,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,20839463.590907473,23.0,True,2026-01-31
BID CORP (SOUTH AFRICA),OK,20839463.590907473,25.4653537304054,85,20839463.590907473,20839463.590907473,4167892.7181814946,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,20839463.590907473,24.0,True,2026-01-31
DISCOVERY HOLDINGS (SOUTH AFRICA),OK,20015313.183596693,13.73741958889151,85,20015313.183596693,20015313.183596693,4003062.6367193386,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,20015313.183596693,25.0,True,2026-01-31
SANLAM (SOUTH AFRICA),OK,18028635.141685758,5.945155353325973,85,18028635.141685758,18028635.141685758,3605727.0283371517,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,18028635.141685758,26.0,True,2026-01-31
GLENCORE (SOUTH AFRICA),OK,16890597.542154636,5.502090673729946,85,16890597.542154636,16890597.542154636,3378119.5084309275,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,16890597.542154636,27.0,True,2026-01-31
MR PRICE (SOUTH AFRICA),OK,16435512.105205422,10.56232392857121,85,16435512.105205422,16435512.105205422,3287102.4210410845,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,16435512.105205422,28.0,True,2026-01-31
BHP (SOUTH AFRICA),OK,14821707.898255263,30.61130249546824,85,14821707.898255263,14821707.898255263,2964341.5796510526,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,14821707.898255263,29.0,True,2026-01-31
CLICKS (SOUTH AFRICA),OK,14677702.310171487,20.3163868135742,85,14677702.310171487,14677702.310171487,2935540.4620342976,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,14677702.310171487,30.0,True,2026-01-31
REINET INVEST (SOUTH AFRICA),OK,12042982.602568721,35.01056051303751,85,12042982.602568721,12042982.602568721,2408596.5205137446,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,12042982.602568721,31.0,True,2026-01-31
WOOLWORTHS HOLDINGS (SOUTH AFRICA),OK,11054150.860379905,3.380329980569139,85,11054150.860379905,11054150.860379905,2210830.172075981,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,11054150.860379905,32.0,True,2026-01-31
BIDVEST (SOUTH AFRICA),OK,10663637.194557134,14.33561726938151,85,10663637.194557134,10663637.194557134,2132727.438911427,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,10663637.194557134,33.0,True,2026-01-31
VODACOM (SOUTH AFRICA),OK,10334210.145252006,8.529900527754018,85,10334210.145252006,10334210.145252006,2066842.0290504014,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,10334210.145252006,34.0,True,2026-01-31
TIGER BRANDS (SOUTH AFRICA),OK,9956255.104095493,22.10373629080013,85,9956255.104095493,9956255.104095493,1991251.0208190987,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,9956255.104095493,35.0,True,2026-01-31
REMGRO (SOUTH AFRICA),OK,8894954.979846377,10.96253085305645,85,8894954.979846377,8894954.979846377,1778990.9959692755,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,8894954.979846377,36.0,True,2026-01-31
OUTSURANCE (SOUTH AFRICA),OK,8797148.222378561,4.325615114421152,85,8797148.222378561,8797148.222378561,1759429.6444757124,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,8797148.222378561,37.0,True,2026-01-31
FOSCHINI (SOUTH AFRICA),OK,8475066.34433366,5.067476819085343,85,8475066.34433366,8475066.34433366,1695013.268866732,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,8475066.34433366,38.0,True,2026-01-31
GROWTHPOINT PROPERTIES (SOUTH AFRICA),OK,7560417.9038665425,1.035829686902972,85,7560417.9038665425,7560417.9038665425,1512083.5807733086,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,7560417.9038665425,39.0,True,2026-01-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),OK,7495093.664817252,7.049798900547674,85,7495093.664817252,7495093.664817252,1499018.7329634505,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,7495093.664817252,40.0,True,2026-01-31
INVESTEC (SOUTH AFRICA),OK,7377866.878820579,7.37455203082378,85,7377866.878820579,7377866.878820579,1475573.3757641157,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,7377866.878820579,41.0,True,2026-01-31
MONDI (SOUTH AFRICA),OK,6910582.654097618,12.28991400078351,85,6910582.654097618,6910582.654097618,1382116.5308195236,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,6910582.654097618,42.0,True,2026-01-31
CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),OK,6827424.728662121,47.8678870462737,85,6827424.728662121,6827424.728662121,1365484.9457324243,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,6827424.728662121,43.0,True,2026-01-31
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),OK,6292655.221301473,2.160334579196188,86,6292655.221301473,6292655.221301473,1258531.0442602946,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,6292655.221301473,44.0,True,2026-01-31
KUMBA IRON ORE (SOUTH AFRICA),OK,6000482.902529971,21.19104719604646,85,6000482.902529971,6000482.902529971,1200096.5805059941,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,6000482.902529971,45.0,True,2026-01-31
BELTONE HOLDING EGYPT (EGYPT),ZERO_CONFIRMED,5708532.137400225,0.07173149767816468,86,5708532.137400225,5708532.137400225,1141706.427480045,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,5708532.137400225,46.0,True,2026-01-31
MARSA MAROC MOROCCO (MOROCCO),OK,5420773.640564676,107.5181074640089,85,5420773.640564676,5420773.640564676,1084154.7281129353,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,5420773.640564676,47.0,True,2026-01-31
ATTIJARIWAFA BANK MOROCCO (MOROCCO),OK,5398472.380160305,82.63049500997147,85,5398472.380160305,5398472.380160305,1079694.476032061,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,5398472.380160305,48.0,True,2026-01-31
TRUWORTHS INT (SOUTH AFRICA),OK,5163132.750531305,3.436467603460733,85,5163132.750531305,5163132.750531305,1032626.5501062609,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,5163132.750531305,49.0,True,2026-01-31
EXXARO RESOURCES (SOUTH AFRICA),OK,5073422.039710659,10.80498333074778,85,5073422.039710659,5073422.039710659,1014684.4079421317,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,5073422.039710659,50.0,True,2026-01-31
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),OK,4393945.536134313,12.00620773455717,85,4393945.536134313,4393945.536134313,878789.1072268626,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,4393945.536134313,51.0,True,2026-01-31
