Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),1213149902.474074,428.31,90,0.7333333333333333,2255857256.6666665,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,1213149902.474074,5.0,1.0,True,2018-07-31
BLUE LABEL TELECOMS (SOUTH AFRICA),1100193161.4666665,923.0,90,0.7333333333333333,2045813730.0,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,1100193161.4666665,5.0,2.0,True,2018-07-31
PPC (SOUTH AFRICA),639049728.4029629,638.0,90,0.7333333333333333,1188315610.6666667,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,639049728.4029629,3.966823998074612,3.0,True,2018-07-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),343094112.7574073,40.05,90,0.7333333333333333,637984920.4166666,,,22.0,2018-07-31,NIGERIA,MID,343094112.7574073,5.0,4.0,True,2018-07-31
STANDARD BANK GROUP (SOUTH AFRICA),320615598.3555555,203.85,90,0.7333333333333333,596186030.0,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,320615598.3555555,1.9901825995486517,5.0,True,2018-07-31
ZENITH BANK NIGERIA (NIGERIA),313183699.1364074,23.0,90,0.7333333333333333,582366382.6916667,,,22.0,2018-07-31,NIGERIA,MID,313183699.1364074,5.0,6.0,True,2018-07-31
MTN GROUP (SOUTH AFRICA),291580269.85185176,114.5,90,0.7333333333333333,542194716.6666666,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,291580269.85185176,1.8099493050469686,7.0,True,2018-07-31
FIRSTRAND (SOUTH AFRICA),286991114.50370365,67.86,90,0.7333333333333333,533661163.3333333,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,286991114.50370365,1.7814626775486353,8.0,True,2018-07-31
GRINDROD (SOUTH AFRICA),268342551.48148143,744.0,90,0.7333333333333333,498984083.3333333,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,268342551.48148143,1.6657039751530818,9.0,True,2018-07-31
ANGLO AMERICAN (SOUTH AFRICA),267207113.8648592,288.41,90,0.7333333333333333,496872732.3933333,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,267207113.8648592,1.658655883297711,10.0,True,2018-07-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),234655691.7209185,725.92,90,0.7333333333333333,436343228.4066667,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,234655691.7209185,1.4565968622341436,11.0,True,2018-07-31
SANLAM (SOUTH AFRICA),201357996.56296295,76.34,90,0.7333333333333333,374426026.6666667,,,22.0,2018-07-31,SOUTH AFRICA,HIGH,201357996.56296295,1.249905441578595,12.0,True,2018-07-31
