Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),1907904634.989629,510.74,90,0.7333333333333333,3547756552.666666,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,1907904634.989629,5.0,1.0,True,2020-03-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),611087589.8868887,17.7,90,0.7333333333333333,1136319898.55,,,22.0,2020-03-31,NIGERIA,MID,611087589.8868887,5.0,2.0,True,2020-03-31
ZENITH BANK NIGERIA (NIGERIA),604448682.0544088,11.7,90,0.7333333333333333,1123974822.002,,,22.0,2020-03-31,NIGERIA,MID,604448682.0544088,5.0,3.0,True,2020-03-31
STANDARD BANK GROUP (SOUTH AFRICA),488698418.8859258,102.47,90,0.7333333333333333,908736729.3333333,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,488698418.8859258,1.9177132926063207,4.0,True,2020-03-31
FIRSTRAND (SOUTH AFRICA),461788490.6962962,39.45,90,0.7333333333333333,858697606.6666666,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,461788490.6962962,1.8121153921466095,5.0,True,2020-03-31
ANGLO AMERICAN (SOUTH AFRICA),432221852.0206806,294.71,90,0.7333333333333333,803718319.8731666,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,432221852.0206806,1.6960922297734333,6.0,True,2020-03-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),424726900.5629629,75.74,90,0.7333333333333333,789781426.6666666,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,424726900.5629629,1.6666811093718765,7.0,True,2020-03-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),411866456.54879993,598.66,90,0.7333333333333333,765867377.88,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,411866456.54879993,1.6162151297785672,8.0,True,2020-03-31
SIBANYE STILLWATER (SOUTH AFRICA),401118977.7629629,22.57,90,0.7333333333333333,745882396.6666666,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,401118977.7629629,1.5740406881738869,9.0,True,2020-03-31
MTN GROUP (SOUTH AFRICA),392133797.40740734,48.39,90,0.7333333333333333,729174416.6666666,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,392133797.40740734,1.538781724489095,10.0,True,2020-03-31
ABSA (SOUTH AFRICA),322468622.82962954,75.0,90,0.7333333333333333,599631736.6666666,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,322468622.82962954,1.2654069269521924,11.0,True,2020-03-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),321372659.9163585,319.11,90,0.7333333333333333,597593789.1006666,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,321372659.9163585,1.2611062323606796,12.0,True,2020-03-31
BLUE LABEL TELECOMS (SOUTH AFRICA),316667729.3030371,172.0,90,0.7333333333333333,588844951.1833335,,,22.0,2020-03-31,SOUTH AFRICA,HIGH,316667729.3030371,1.2426435002762877,13.0,True,2020-03-31
