Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),907315789.5999999,651.41,90,0.7333333333333333,1687157460.0,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,907315789.5999999,3.9969043155356463,1.0,True,2023-02-28
GRINDROD (SOUTH AFRICA),643722971.0429629,1027.0,90,0.7333333333333333,1197005524.6666667,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,643722971.0429629,2.8357261611255953,2.0,True,2023-02-28
PPC (SOUTH AFRICA),607393175.8237035,291.0,90,0.7333333333333333,1129450120.3333333,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,607393175.8237035,2.6756862753892303,3.0,True,2023-02-28
BLUE LABEL TELECOMS (SOUTH AFRICA),571794725.04,454.0,90,0.7333333333333333,1063254654.0,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,571794725.04,2.5188681055803532,4.0,True,2023-02-28
PROSUS (SOUTH AFRICA),559984510.9515554,613.42,90,0.7333333333333333,1041293512.0999999,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,559984510.9515554,2.4668417921417714,5.0,True,2023-02-28
ANGLO AMERICAN (SOUTH AFRICA),482307220.0743703,636.67,90,0.7333333333333333,896852268.7333333,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,482307220.0743703,2.12465806439797,6.0,True,2023-02-28
ABU QIR FERTILIZERS EGYPT (EGYPT),465362003.5372488,834.0,90,0.7333333333333333,865342568.561,,,22.0,2023-02-28,EGYPT,MID,465362003.5372488,5.0,7.0,True,2023-02-28
FIRSTRAND (SOUTH AFRICA),342166874.29629624,65.55,90,0.7333333333333333,636260716.6666666,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,342166874.29629624,1.5073123075606725,8.0,True,2023-02-28
EASTERN TOBACCO EGYPT (EGYPT),328027361.1804444,370.4,90,0.7333333333333333,609968233.6,,,22.0,2023-02-28,EGYPT,MID,328027361.1804444,5.0,9.0,True,2023-02-28
STANDARD BANK GROUP (SOUTH AFRICA),298846252.764074,183.58,90,0.7333333333333333,555705841.9166666,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,298846252.764074,1.3164764584125388,10.0,True,2023-02-28
AIRTEL AFRICA NIGERIA (NIGERIA),281862317.71964437,1620.0,90,0.7333333333333333,524124144.52,,,22.0,2023-02-28,NIGERIA,MID,281862317.71964437,5.0,11.0,True,2023-02-28
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),276553653.94441473,700.92,90,0.7333333333333333,514252662.2933333,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,276553653.94441473,1.2182731807355545,12.0,True,2023-02-28
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),263691506.87407404,171.51,90,0.7333333333333333,490335446.6666667,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,263691506.87407404,1.1616128958361116,13.0,True,2023-02-28
ABSA (SOUTH AFRICA),263624248.79999995,198.45,90,0.7333333333333333,490210380.0,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,263624248.79999995,1.161316610805472,14.0,True,2023-02-28
MTN GROUP (SOUTH AFRICA),261983659.09629625,144.81,90,0.7333333333333333,487159696.6666667,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,261983659.09629625,1.1540894908303556,15.0,True,2023-02-28
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),230707995.67599255,26.65,90,0.7333333333333333,429002471.29833335,,,22.0,2023-02-28,NIGERIA,MID,230707995.67599255,5.0,16.0,True,2023-02-28
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),228755080.84309623,310.08,90,0.7333333333333333,425371018.09666663,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,228755080.84309623,1.0077110751324645,17.0,True,2023-02-28
GOLD FIELDS (SOUTH AFRICA),226421147.82222217,166.79,90,0.7333333333333333,421031060.0,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,226421147.82222217,0.9974296416225118,18.0,True,2023-02-28
FAWRY EGYPT (EGYPT),214783732.5372671,23.12,90,0.7333333333333333,399391238.1891331,,,22.0,2023-02-28,EGYPT,MID,214783732.5372671,5.0,19.0,True,2023-02-28
GLENCORE (SOUTH AFRICA),213514427.73629624,108.3,90,0.7333333333333333,397030960.6666666,,,22.0,2023-02-28,SOUTH AFRICA,HIGH,213514427.73629624,0.9405730038320568,20.0,True,2023-02-28
