Date,AM100,AM200,AM300,Year
2016-11-01,1000.0,,,2016
2016-11-02,1110.9409839958307,,,2016
2016-11-03,1228.0433177647435,,,2016
2016-11-04,1273.5894470955784,,,2016
2016-11-05,1302.5888329321292,,,2016
2016-11-07,1298.1106287495409,,,2016
2016-11-08,1421.5800234555454,,,2016
2016-11-09,1421.435749413342,,,2016
2016-11-10,1334.7206267479246,,,2016
2016-11-11,1244.8507620368205,,,2016
2016-11-14,1229.5518059259232,,,2016
2016-11-15,1271.3139201647552,,,2016
2016-11-16,1255.2610924066284,,,2016
2016-11-17,1263.078030234446,,,2016
2016-11-18,1283.366874545503,,,2016
2016-11-21,1283.5799428629407,,,2016
2016-11-22,1317.8509452393714,,,2016
2016-11-23,1289.8478418924533,,,2016
2016-11-24,1298.8214343600562,,,2016
2016-11-25,1302.2627518990182,,,2016
2016-11-28,1339.713493239742,,,2016
2016-11-29,1314.807034565423,,,2016
2016-11-30,1282.657822975788,,,2016
2016-12-01,1124.9527040788962,,,2016
2016-12-02,1246.5894489569464,,,2016
2016-12-04,1431.9061119775215,,,2016
2016-12-05,1404.7961063429773,,,2016
2016-12-06,1404.7537269323454,,,2016
2016-12-07,1470.669729742547,,,2016
2016-12-08,1558.9126465713591,,,2016
2016-12-09,1490.1464381132805,,,2016
2016-12-10,1511.1495740170287,,,2016
2016-12-12,1441.5433448404517,,,2016
2016-12-13,1461.8288914032769,,,2016
2016-12-14,1425.5088632767706,,,2016
2016-12-15,1384.7249945707488,,,2016
2016-12-19,1371.96708587569,,,2016
2016-12-20,1411.299457799533,,,2016
2016-12-21,1389.7745678315532,,,2016
2016-12-22,1382.222816233637,,,2016
2016-12-23,1367.18490573062,,,2016
2016-12-28,1429.3566446074522,,,2016
2016-12-29,1474.9847666412206,,,2016
2016-12-30,1467.9554888546886,,,2016
2017-01-02,1461.912018415837,,,2017
2017-01-03,1458.565403234174,,,2017
2017-01-04,1458.6759634314333,,,2017
2017-01-05,1458.6887000800357,,,2017
2017-01-06,1434.489134884893,,,2017
2017-01-08,1455.814189636202,,,2017
2017-01-09,1535.1523719229087,,,2017
2017-01-10,1535.1367050134886,,,2017
2017-01-11,1567.8451141131247,,,2017
2017-01-12,1593.0972910931678,,,2017
2017-01-13,1502.9350452779854,,,2017
2017-01-16,1499.9151746545308,,,2017
2017-01-17,1516.0763160806534,,,2017
2017-01-18,1496.0671996163262,,,2017
2017-01-19,1490.6644595800233,,,2017
2017-01-20,1477.4671131902091,,,2017
2017-01-23,1514.9134450397164,,,2017
2017-01-24,1527.8026005486288,,,2017
2017-01-25,1561.1567324836708,,,2017
2017-01-26,1574.153431107206,,,2017
2017-01-27,1544.1030381160724,,,2017
2017-01-30,1509.5653429895372,,,2017
2017-01-31,1525.1472722966007,,,2017
2017-02-01,1525.1472722966007,,,2017
2017-02-02,1541.2447272645643,,,2017
2017-02-03,1575.663128727222,,,2017
2017-02-05,1542.5049199616813,,,2017
2017-02-06,1538.8721332077532,,,2017
2017-02-07,1549.0323406906984,,,2017
2017-02-08,1566.1165435687042,,,2017
2017-02-09,1572.001423089894,,,2017
2017-02-10,1588.7953662455293,,,2017
2017-02-11,1630.1590550029337,,,2017
2017-02-12,1624.4039248302297,,,2017
2017-02-13,1586.3752599789475,,,2017
2017-02-14,1601.9038385589524,,,2017
2017-02-15,1610.4053453815393,,,2017
2017-02-16,1638.5449213818597,,,2017
2017-02-17,1626.8771309767053,,,2017
2017-02-19,1626.5127080433112,,,2017
2017-02-20,1629.6341717403675,,,2017
2017-02-21,1627.2000634361646,,,2017
2017-02-22,1616.67894008974,,,2017
2017-02-23,1607.4337074391792,,,2017
2017-02-24,1605.4145935068343,,,2017
2017-02-26,1610.2061415124665,,,2017
2017-02-27,1590.1689625012605,,,2017
2017-02-28,1579.8770313988584,,,2017
2017-03-01,1594.2612403027892,,,2017
2017-03-02,1597.4520975345984,,,2017
2017-03-03,1614.5691251549977,,,2017
2017-03-04,1595.7920527499407,,,2017
2017-03-05,1604.1730934424206,,,2017
2017-03-06,1584.08948330388,,,2017
2017-03-07,1570.552406834777,,,2017
2017-03-08,1581.1127363257715,,,2017
2017-03-09,1583.979232927356,,,2017
2017-03-10,1610.670135029539,,,2017
2017-03-11,1668.43603913742,,,2017
2017-03-12,1670.7256159295491,,,2017
2017-03-13,1609.5224652495992,,,2017
2017-03-14,1591.1596678324477,,,2017
2017-03-15,1617.778142621203,,,2017
2017-03-16,1655.3374890164853,,,2017
2017-03-17,1651.9957134065007,,,2017
2017-03-19,1663.855612529736,,,2017
2017-03-20,1667.2370988176626,,,2017
2017-03-21,1664.029403699528,,,2017
2017-03-22,1675.098320585645,,,2017
2017-03-23,1664.1979250404029,,,2017
2017-03-24,1673.768921603756,,,2017
2017-03-26,1680.954757980857,,,2017
2017-03-27,1639.5443678083047,,,2017
2017-03-28,1636.0947222517796,,,2017
2017-03-29,1616.359916799788,,,2017
2017-03-30,1601.9876478441247,,,2017
2017-03-31,1580.026468176571,,,2017
2017-04-01,1605.9168296822147,,,2017
2017-04-02,1605.9555581362845,,,2017
2017-04-03,1599.1692228658828,,,2017
2017-04-04,1581.6748004010933,,,2017
2017-04-05,1575.902524030825,,,2017
2017-04-06,1577.191205027848,,,2017
2017-04-07,1560.764392725353,,,2017
2017-04-08,1601.5060603913344,,,2017
2017-04-09,1613.2966728611118,,,2017
2017-04-10,1598.8290437045678,,,2017
2017-04-11,1602.9074801228935,,,2017
2017-04-12,1661.9976512943958,,,2017
2017-04-13,1609.034619589754,,,2017
2017-04-14,1620.0621460761636,,,2017
2017-04-17,1624.0123330687168,,,2017
2017-04-18,1629.4985459534223,,,2017
2017-04-19,1616.5534406228314,,,2017
2017-04-20,1623.5151968507842,,,2017
2017-04-21,1612.3507530263416,,,2017
2017-04-23,1621.0925016103365,,,2017
2017-04-24,1619.690477515174,,,2017
2017-04-25,1623.060666119018,,,2017
2017-04-26,1618.677614554287,,,2017
2017-04-27,1632.1071667997585,,,2017
2017-04-28,1633.2385823738464,,,2017
2017-04-30,1630.4038134761386,,,2017
2017-05-02,1630.4038134761386,,,2017
2017-05-03,1637.485217484737,,,2017
2017-05-04,1613.623828924245,,,2017
2017-05-05,1628.1708703774082,,,2017
2017-05-06,1654.915190980655,,,2017
2017-05-07,1639.9126507159767,,,2017
2017-05-08,1650.472857619216,,,2017
2017-05-09,1699.6907352621567,,,2017
2017-05-10,1711.478321207606,,,2017
2017-05-11,1720.825229207032,,,2017
2017-05-12,1762.151998027259,,,2017
2017-05-14,1761.2663007735737,,,2017
2017-05-15,1679.4574411025944,,,2017
2017-05-16,1710.295262224353,,,2017
2017-05-17,1696.1539328546028,,,2017
2017-05-18,1671.446261257587,,,2017
2017-05-19,1683.6439960831713,,,2017
2017-05-21,1687.3338565786898,,,2017
2017-05-22,1686.9122995795874,,,2017
2017-05-23,1705.5444364605614,,,2017
2017-05-24,1772.3153609182675,,,2017
2017-05-25,1785.552860691133,,,2017
2017-05-26,1794.370835644707,,,2017
2017-05-28,1796.3849458498644,,,2017
2017-05-29,1790.8596602969617,,,2017
2017-05-30,1778.8333941449905,,,2017
2017-05-31,1780.9441451319267,,,2017
2017-06-01,1782.9124044589955,,,2017
2017-06-02,1794.8177057680489,,,2017
2017-06-03,1819.378193911588,,,2017
2017-06-04,1780.6693104143264,,,2017
2017-06-05,1779.6438549214097,,,2017
2017-06-06,1800.878961025612,,,2017
2017-06-07,1793.1330207323651,,,2017
2017-06-08,1800.1116833210626,,,2017
2017-06-09,1856.1720011740872,,,2017
2017-06-10,1869.975365990614,,,2017
2017-06-11,1921.4547065037088,,,2017
2017-06-12,1860.5719441369397,,,2017
2017-06-13,1816.629586229353,,,2017
2017-06-14,1836.8562563046787,,,2017
2017-06-15,1814.964834694004,,,2017
2017-06-16,1816.7895864175891,,,2017
2017-06-18,1816.0593955691256,,,2017
2017-06-19,1820.6092861518723,,,2017
2017-06-20,1792.2618819702627,,,2017
2017-06-21,1787.9612067002956,,,2017
2017-06-22,1789.4559177984047,,,2017
2017-06-23,1808.542511098107,,,2017
2017-06-26,1813.497760506168,,,2017
2017-06-27,1805.3245499434756,,,2017
2017-06-28,1785.782492032349,,,2017
2017-06-29,1791.4845227656665,,,2017
2017-06-30,1795.7334370041012,,,2017
2017-07-02,1811.3482280183005,,,2017
2017-07-03,1826.681964938787,,,2017
2017-07-04,1800.8369537253943,,,2017
2017-07-05,1776.3588443536423,,,2017
2017-07-06,1797.0156376687005,,,2017
2017-07-07,1784.2447348283365,,,2017
2017-07-08,1839.998596864154,,,2017
2017-07-09,1848.183160400995,,,2017
2017-07-10,1858.2368189593064,,,2017
2017-07-11,1938.7710348818173,,,2017
2017-07-12,1893.3284672845057,,,2017
2017-07-13,1868.5458557358136,,,2017
2017-07-14,1880.4451179841972,,,2017
2017-07-17,1887.131855109741,,,2017
2017-07-18,1881.591265303366,,,2017
2017-07-19,1883.2116794429808,,,2017
2017-07-20,1891.3240788436287,,,2017
2017-07-21,1899.4873112241748,,,2017
2017-07-24,1889.2236352311625,,,2017
2017-07-25,1905.829598564686,,,2017
2017-07-26,1935.6472477899451,,,2017
2017-07-27,1928.2270479908948,,,2017
2017-07-28,1957.068561110077,,,2017
2017-07-30,1951.0181819149063,,,2017
2017-07-31,1918.1576711640507,,,2017
2017-08-01,1918.1576711640507,,,2017
2017-08-02,1891.972463283356,,,2017
2017-08-03,1905.964144328768,,,2017
2017-08-04,1914.3184065191745,,,2017
2017-08-05,1901.40195202613,,,2017
2017-08-06,1903.521215111865,,,2017
2017-08-07,1906.2017357093316,,,2017
2017-08-08,1932.0459253053791,,,2017
2017-08-09,1935.134109984527,,,2017
2017-08-10,1920.247675559684,,,2017
2017-08-11,1967.5919991972576,,,2017
2017-08-12,1939.0030049815875,,,2017
2017-08-13,1925.8083641936676,,,2017
2017-08-14,1907.349941521064,,,2017
2017-08-15,1901.6733012917653,,,2017
2017-08-16,1902.8449961733809,,,2017
2017-08-17,1903.8434175385453,,,2017
2017-08-18,1922.68088483678,,,2017
2017-08-20,1917.172608669708,,,2017
2017-08-21,1930.789554621584,,,2017
2017-08-22,1934.4102809267224,,,2017
2017-08-23,1936.022396069685,,,2017
2017-08-24,1949.8492585384408,,,2017
2017-08-25,1973.231775288853,,,2017
2017-08-27,1976.6664692485017,,,2017
2017-08-28,1977.1573454489237,,,2017
2017-08-29,1989.224723969292,,,2017
2017-08-30,1991.5950458974935,,,2017
2017-08-31,1988.9377301190773,,,2017
2017-09-01,1951.765334560982,,,2017
2017-09-02,1955.3654748169065,,,2017
2017-09-03,1963.3335701762992,,,2017
2017-09-04,1971.4831434560977,,,2017
2017-09-05,1960.9197528217176,,,2017
2017-09-06,1968.1187622374648,,,2017
2017-09-07,1985.3306160283664,,,2017
2017-09-08,2001.7202409586969,,,2017
2017-09-10,2042.4706752581408,,,2017
2017-09-11,2079.043343083206,,,2017
2017-09-12,2067.740199302032,,,2017
2017-09-13,2041.1793545965213,,,2017
2017-09-14,2037.856093344125,,,2017
2017-09-15,2043.192473387577,,,2017
2017-09-17,2040.856338121026,,,2017
2017-09-18,2015.5644962529184,,,2017
2017-09-19,2025.5621399644017,,,2017
2017-09-20,2014.074645532022,,,2017
2017-09-21,2030.734795509641,,,2017
2017-09-22,2037.8489392297613,,,2017
2017-09-24,2033.7467427807944,,,2017
2017-09-25,2026.4096923110203,,,2017
2017-09-26,2008.711373993032,,,2017
2017-09-27,2005.723751024782,,,2017
2017-09-28,2004.968596108677,,,2017
2017-09-29,2011.9024897639429,,,2017
2017-10-01,1998.014553584349,,,2017
2017-10-02,1998.9093139455629,,,2017
2017-10-03,1993.227775382248,,,2017
2017-10-04,1996.1809825124387,,,2017
2017-10-05,2011.1082559676508,,,2017
2017-10-06,2015.8118583474225,,,2017
2017-10-07,1994.572214590556,,,2017
2017-10-08,2036.115375854759,,,2017
2017-10-09,2035.9310717789403,,,2017
2017-10-10,2049.5170836252737,,,2017
2017-10-11,2094.8311404847377,,,2017
2017-10-12,2104.07325659605,,,2017
2017-10-13,2105.55960127516,,,2017
2017-10-15,2105.99134891172,,,2017
2017-10-16,2070.988899359212,,,2017
2017-10-17,2066.6747109789053,,,2017
2017-10-18,2069.870509582188,,,2017
2017-10-19,2078.656418985804,,,2017
2017-10-20,2073.6466995941287,,,2017
2017-10-22,2069.023782372049,,,2017
2017-10-23,2065.863234164169,,,2017
2017-10-24,2091.589325351982,,,2017
2017-10-25,2060.6048440636305,,,2017
2017-10-26,2058.6318616226954,,,2017
2017-10-27,2074.184299007403,,,2017
2017-10-29,2080.842491006744,,,2017
2017-10-30,2073.540374999119,,,2017
2017-10-31,2081.6218284732945,,,2017
2017-11-01,2081.6218284732945,,,2017
2017-11-02,2082.6863542342644,,,2017
